measurement_interval,section,metric,observed_difference,ci_lower_2p5,ci_upper_97p5,n_endpoint_dates,n_endpoint_rows,bootstrap_unit,block_length_endpoint_dates,n_resamples,seed
6,S1,mae,-0.02269041149239437,-0.1011824475124566,0.04779235091085649,23,23,endpoint_date_cluster,2,2000,20260813
6,S1,rmse,-0.007300804723003651,-0.08272044644182493,0.05252852510911667,23,23,endpoint_date_cluster,2,2000,20260813
6,S1,mean_signed_error,-0.005829640185594193,-0.0642387568579025,0.05952119023210416,23,23,endpoint_date_cluster,2,2000,20260813
6,S2,mae,0.10826834502689298,0.028334335705461674,0.19978207020934902,23,23,endpoint_date_cluster,2,2000,20260813
6,S2,rmse,0.12995686903550263,0.026882466457542224,0.2271104700453503,23,23,endpoint_date_cluster,2,2000,20260813
6,S2,mean_signed_error,-0.02849699578332357,-0.1444345547562926,0.0762114640719254,23,23,endpoint_date_cluster,2,2000,20260813
6,S3,mae,-0.03542667205424388,-0.24283908312941843,0.1647243566750428,23,23,endpoint_date_cluster,2,2000,20260813
6,S3,rmse,0.0709468282330894,-0.14472732913859065,0.25703229307593156,23,23,endpoint_date_cluster,2,2000,20260813
6,S3,mean_signed_error,-0.05123498465919543,-0.31290796822584166,0.20054836734351733,23,23,endpoint_date_cluster,2,2000,20260813
6,S4,mae,-0.02363998882471474,-0.27743760100612497,0.23216692485385157,23,23,endpoint_date_cluster,2,2000,20260813
6,S4,rmse,0.036483755771287374,-0.17335675710318627,0.2347410789865419,23,23,endpoint_date_cluster,2,2000,20260813
6,S4,mean_signed_error,-0.1346714928391204,-0.31780600353136784,0.05146030640558893,23,23,endpoint_date_cluster,2,2000,20260813
6,S5,mae,0.20024014313800542,-0.11942942238310521,0.552891664072366,23,23,endpoint_date_cluster,2,2000,20260813
6,S5,rmse,0.1998153112819634,-0.08756926442105382,0.44719595686621155,23,23,endpoint_date_cluster,2,2000,20260813
6,S5,mean_signed_error,0.5995337796757473,0.3219236945275629,0.9132626996760485,23,23,endpoint_date_cluster,2,2000,20260813
6,S6,mae,0.004722210578957942,-0.21992256585218434,0.22602587071085598,23,23,endpoint_date_cluster,2,2000,20260813
6,S6,rmse,0.021295511601482797,-0.1895280817922469,0.25830152198581663,23,23,endpoint_date_cluster,2,2000,20260813
6,S6,mean_signed_error,0.07171816813486331,-0.14167606310068126,0.26480396337007883,23,23,endpoint_date_cluster,2,2000,20260813
6,All,mae,0.03857893772875021,-0.03830928976016504,0.11529992353501663,23,138,endpoint_date_cluster,2,2000,20260813
6,All,rmse,0.08302718156528721,-0.012240851131067288,0.1775770607881161,23,138,endpoint_date_cluster,2,2000,20260813
6,All,mean_signed_error,0.07516980572389623,-0.025481056135921158,0.17374593999868998,23,138,endpoint_date_cluster,2,2000,20260813
12,S1,mae,-0.1277738578095713,-0.26655409584513134,0.0035736761343031407,11,11,endpoint_date_cluster,2,2000,20260813
12,S1,rmse,-0.08863822313951597,-0.26912781488262943,0.056059473472153294,11,11,endpoint_date_cluster,2,2000,20260813
12,S1,mean_signed_error,-0.02582588124537752,-0.19544252721013552,0.1207969901578079,11,11,endpoint_date_cluster,2,2000,20260813
12,S2,mae,0.5269714507234085,0.06748947414019056,1.1266639100970122,11,11,endpoint_date_cluster,2,2000,20260813
12,S2,rmse,0.7379102805578261,0.05717600607682826,1.4831339491208917,11,11,endpoint_date_cluster,2,2000,20260813
12,S2,mean_signed_error,-0.3999879147019907,-0.9320698820238416,0.06456164755885455,11,11,endpoint_date_cluster,2,2000,20260813
12,S3,mae,0.12438408425812963,-0.24770342536060413,0.45646379199227705,11,11,endpoint_date_cluster,2,2000,20260813
12,S3,rmse,0.27294836401841094,-0.2893087892434521,0.6449801162494352,11,11,endpoint_date_cluster,2,2000,20260813
12,S3,mean_signed_error,-0.21941713788673078,-0.5981360041912439,0.23331278350565635,11,11,endpoint_date_cluster,2,2000,20260813
12,S4,mae,-0.08925361312672564,-0.5340323113608959,0.32497630560910284,11,11,endpoint_date_cluster,2,2000,20260813
12,S4,rmse,0.006339948308070831,-0.39149412311145815,0.3430508236279458,11,11,endpoint_date_cluster,2,2000,20260813
12,S4,mean_signed_error,-0.24926845253798602,-0.6127552425449004,0.03326775023769098,11,11,endpoint_date_cluster,2,2000,20260813
12,S5,mae,0.21326903400074748,-0.35510476295527327,0.8177797115959298,11,11,endpoint_date_cluster,2,2000,20260813
12,S5,rmse,0.18119257736928596,-0.19543973699295386,0.47809329031053444,11,11,endpoint_date_cluster,2,2000,20260813
12,S5,mean_signed_error,1.1114020836033565,0.549492045591933,1.7627642938059125,11,11,endpoint_date_cluster,2,2000,20260813
12,S6,mae,-0.458928631863988,-0.8043858376303578,-0.10527663237243103,11,11,endpoint_date_cluster,2,2000,20260813
12,S6,rmse,-0.5686950898952929,-0.9012631842930406,-0.18086278165774372,11,11,endpoint_date_cluster,2,2000,20260813
12,S6,mean_signed_error,0.278085165319847,-0.33315445279796096,0.913905442984005,11,11,endpoint_date_cluster,2,2000,20260813
12,All,mae,0.03144474436366673,-0.11481114317964945,0.16943253409829206,11,66,endpoint_date_cluster,2,2000,20260813
12,All,rmse,0.04622456526473595,-0.12289588490447431,0.1895079285899055,11,66,endpoint_date_cluster,2,2000,20260813
12,All,mean_signed_error,0.08249797709185325,-0.263821740031129,0.3495262785395291,11,66,endpoint_date_cluster,2,2000,20260813
